date,spot,rate_us,rate_tw,forward_3m,forward_6m,forward_1y,fwd_point_3m,fwd_point_6m,fwd_point_1y
2024-05-09,32.33300018310547,5.33,2.0,32.60083324432374,32.866014493054685,33.38857754202449,26.78330612182691,53.30143099492162,105.55773589190238
2024-05-10,32.33879852294922,5.33,2.0,32.60667961519157,32.8719084193919,33.3945651806102,26.788109224234802,53.31098964426815,105.57666576609819
2024-05-13,32.42399978637695,5.33,2.0,32.69258665027903,32.95851423830089,33.4825480146969,26.858686390207964,53.451445192393976,105.85482283199497
2024-05-14,32.371498107910156,5.33,2.0,32.63965006984882,32.9051470618673,33.428332310844866,26.815196193866342,53.36489539571403,105.68342029347093
2024-05-15,32.31370162963867,5.33,2.0,32.581374829705084,32.84639780006787,33.368648947547456,26.76732000664117,53.26961704291975,105.4947317908784
2024-05-16,32.03129959106445,5.33,2.0,32.29663349066208,32.559340321946856,33.077027313008024,26.533389959762843,52.804073088240244,104.5727721943571
2024-05-17,32.12379837036133,5.33,2.0,32.38989849119044,32.65336395735788,33.172545905393704,26.61001208291154,52.95655869965543,104.87475350323763
2024-05-20,32.16400146484375,5.33,2.0,32.43043461130627,32.6942298058236,33.21406151266658,26.64331464625178,53.02283409798534,105.00600478228321
2024-05-21,32.2057991027832,5.33,2.0,32.47257848341074,32.73671648403206,33.257223720550535,26.67793806275398,53.091738124885524,105.14246177673314
2024-05-22,32.234798431396484,5.33,2.0,32.50181803034313,32.76619387088436,33.287169791950895,26.70195989466464,53.13954394878735,105.23713605544103
2024-05-23,32.223899841308594,5.33,2.0,32.49082916088959,32.75511561592027,33.27591539495131,26.692931958099564,53.12157746116739,105.20155536427183
2024-05-24,32.22079849243164,5.33,2.0,32.48770212173462,32.751963140846485,33.27271279615514,26.69036293029805,53.1164648414844,105.19143037234997
2024-05-27,32.18899917602539,5.33,2.0,32.45563939308053,32.71963960798661,33.23987532559563,26.664021705514074,53.0640431961217,105.08761495702359
2024-05-28,32.06999969482422,5.33,2.0,32.33565416990822,32.59867840266464,33.11699086133171,26.565447508399842,52.867870784042026,104.69911665074889
2024-05-29,32.17380142211914,5.33,2.0,32.44031574733222,32.70419131685012,33.22418140972361,26.65143252130804,53.03898947309804,105.03799876044724
2024-05-30,32.37699890136719,5.33,2.0,32.64519642958001,32.91073853672141,33.434012689029466,26.81975282128235,53.37396353542232,105.7013787662278
2024-05-31,32.35639953613281,5.33,2.0,32.62442642781272,32.88979958789184,33.41274081510655,26.802689167990934,53.340005175902405,105.63412789737399
2024-06-03,32.46500015258789,5.33,2.0,32.733926646389186,33.00019050163798,33.524886922275314,26.89264938012954,53.51903490500902,105.98867696874237
2024-06-04,32.314300537109375,5.33,2.0,32.58197869827499,32.84700658061717,33.36926740758559,26.76781611656125,53.270604350779394,105.4966870476214
2024-06-05,32.328800201416016,5.33,2.0,32.59659847174118,32.86174527404332,33.38424044328577,26.77982703251658,53.29450726273066,105.54402418697535
2024-06-06,32.25199890136719,5.33,2.0,32.519160981818814,32.783677893157055,33.30493180667652,26.71620804516266,53.167899178986744,105.29329053093335
2024-06-07,32.208900451660156,5.33,2.0,32.475705522565704,32.73986895910585,33.260426319346706,26.680507090554784,53.096850744569224,105.152586768655
2024-06-10,32.404998779296875,5.33,2.0,32.67342824679702,32.93919999679717,33.462926680620974,26.842946750014818,53.42012175002964,105.79279013240992
2024-06-11,32.33399963378906,5.33,2.0,32.60184097403911,32.86703041983123,33.389609621833344,26.784134025005102,53.303078604216836,105.56099880442815
2024-06-12,32.315799713134766,5.33,2.0,32.58349029284805,32.84853047078199,33.370815527298866,26.76905797132818,53.27307576472222,105.50158141641006
2024-06-13,32.20100021362305,5.33,2.0,32.46773984225829,32.73183848447139,33.25226816177368,26.67396286352428,53.08382708483421,105.1267948150631
2024-06-14,32.29899978637695,5.33,2.0,32.56655120251784,32.83145359473654,33.35346713234396,26.755141614088984,53.2453808359584,105.44673459670051
2024-06-17,32.3489990234375,5.33,2.0,32.61696461236299,32.88227707664566,33.40509869743796,26.79655889254917,53.32780532081571,105.60996740004569
2024-06-18,32.30099868774414,5.33,2.0,32.568566661948594,32.83348544828963,33.35553129196167,26.756797420445366,53.24867605454884,105.45326042175276
2024-06-19,32.34749984741211,5.33,2.0,32.61545301778993,32.88075318648084,33.40355057772467,26.79531703778224,53.325333906872885,105.60507303125632
2024-06-20,32.38079833984375,5.33,2.0,32.64902734101709,32.914600609505534,33.43793616799747,26.82290011733386,53.38022696617841,105.71378281537207
2024-06-21,32.340999603271484,5.33,2.0,32.608898928343365,32.87414578485017,33.39683811973122,26.78993250718804,53.314618157868665,105.58385164597368
2024-06-24,32.362998962402344,5.33,2.0,32.6310805209715,32.89650780668354,33.41955569323371,26.80815585691576,53.35088442811937,105.65567308313675
2024-06-25,32.32149887084961,5.33,2.0,32.589236660003664,32.85432357995818,33.376700745750874,26.773778915405444,53.282470910856716,105.52018749012646
2024-06-26,32.4734992980957,5.33,2.0,32.7424961952665,33.00882975682174,33.53366353988647,26.89968971707941,53.53304587260368,106.01642417907655
2024-06-27,32.582298278808594,5.33,2.0,32.85219642126739,33.119422304889945,33.64601448732263,26.989814245879273,53.71240260813508,106.37162085140375
2024-06-28,32.52199935913086,5.33,2.0,32.79139801053859,33.05812934856604,33.58374698526718,26.939865140773378,53.612998943518164,106.17476261363237
2024-07-01,32.50400161743164,5.33,2.0,32.77325118306858,33.03983491142198,33.56516167023602,26.924956563694025,53.58332939903363,106.11600528043823
2024-07-02,32.52170181274414,5.33,2.0,32.79109799940195,33.05782689708295,33.583439724866075,26.939618665780785,53.612508433880635,106.17379121219344
2024-07-03,32.57279968261719,5.33,2.0,32.84261914267469,33.10976712292965,33.636205789902625,26.9819460057505,53.69674403124591,106.3406107285438
2024-07-04,32.621498107910156,5.33,2.0,32.891720965371206,33.15926834899601,33.68649407555075,27.022285746105013,53.77702410858518,106.49959676405913
2024-07-05,32.50659942626953,5.33,2.0,32.77587051106923,33.042475545524375,33.56784428989185,26.927108479969775,53.587611925484424,106.12448636223206
2024-07-08,32.393001556396484,5.33,2.0,32.661331643915894,32.9270049978955,33.45053778367883,26.833008751940923,53.40034414990171,105.75362272823483
2024-07-09,32.47100067138672,5.33,2.0,32.73997687097806,33.006289939880375,33.53108334036434,26.89761995913429,53.52892684936563,106.00826689776213
2024-07-10,32.50749969482422,5.33,2.0,32.77677823707239,33.04339065513989,33.568773949567,26.927854224817338,53.589096031566896,106.12742547427843
2024-07-11,32.58689880371094,5.33,2.0,32.856835054995415,33.124098670128554,33.65076520583208,26.993625128447718,53.71998664176161,106.38664021211426
2024-07-12,32.38679885864258,5.33,2.0,32.655077565605964,32.92070004774793,33.44413258608649,26.827870696338607,53.39011891053502,105.73337274439112
2024-07-15,32.54800033569336,5.33,2.0,32.817614368324854,33.0845589550887,33.61059681724099,26.961403263149464,53.65586193953433,106.25964815476294
2024-07-16,32.57400131225586,5.33,2.0,32.843830726111115,33.11098856161137,33.637446649214795,26.98294138552555,53.69872493555121,106.34453369589352
2024-07-17,32.56330108642578,5.33,2.0,32.833041864082,33.10011194096934,33.62639709248262,26.97407776562173,53.68108545435604,106.30960060568384
2024-07-18,32.49079895019531,5.33,2.0,32.7599391504544,33.026414596255464,33.5515279747458,26.91402002590877,53.56156460601511,106.07290245504899
2024-07-19,32.638999938964844,5.33,2.0,32.909367774280156,33.17705870033491,33.7045672899134,27.036783531531228,53.80587613700669,106.55673509485553
2024-07-22,32.78099822998047,5.33,2.0,33.05254231979598,33.321397854266785,33.85120140748865,27.15440898155137,54.03996242863158,107.02031775081835
2024-07-23,32.80849838256836,5.33,2.0,33.08027027215531,33.349351350954265,33.879599359175735,27.177188958695098,54.08529683859058,107.11009766073758
2024-07-24,32.75130081176758,5.33,2.0,33.02259890058148,33.291210869704145,33.82053445591646,27.129808881390005,53.991005793656655,106.92336441488806
2024-07-25,32.71480178833008,5.33,2.0,32.98579753448715,33.25411015444463,33.78284384671379,27.099574615706956,53.93083661145539,106.80420583837105
2024-07-26,32.643001556396484,5.33,2.0,32.91340253943828,33.18112628502421,33.708699548384715,27.040098304179594,53.812472862772864,106.56979919882303
2024-07-29,32.79800033569336,5.33,2.0,33.06968526384724,33.338680242217414,33.86875858194687,27.168492815388134,54.067990652405484,107.07582462535115
2024-07-30,32.849300384521484,5.33,2.0,33.12141026084103,33.39082597996929,33.92173342648674,27.21098763195471,54.15255954478084,107.24330419652546
2024-07-31,32.76150131225586,5.33,2.0,33.03288389775291,33.3015795269579,33.83106797274421,27.138258549705085,54.00782147020422,106.95666604883485
2024-08-01,32.57229995727539,5.33,2.0,32.84211527781701,33.109259159541374,33.6356897499982,26.98153205416176,53.695920226598304,106.33897927228091
2024-08-02,32.71649932861328,5.33,2.0,32.98750913648463,33.25583567893151,33.78459680669447,27.100980787135143,53.933635031823,106.80974780811923
2024-08-05,32.58890151977539,5.33,2.0,32.85885436072279,33.126134401264764,33.6528333046857,26.995284094739702,53.72328814893734,106.39317849103094
2024-08-06,32.67900085449219,5.33,2.0,32.94970004067493,33.21771903689545,33.74587411768296,27.069918618273903,53.87181824032652,106.68732631907716
2024-08-07,32.77799987792969,5.33,2.0,33.049519130649855,33.31835007393715,33.84810516806209,27.151925272016797,54.035019600745926,107.01052901324033
2024-08-08,32.650001525878906,5.33,2.0,32.92046049374253,33.18824165004315,33.71592804628259,27.045896786362533,53.824012416424694,106.59265204036856
2024-08-09,32.41019821166992,5.33,2.0,32.678670749094955,32.94448514258508,33.46829585916855,26.84725374250334,53.42869309151581,105.80976474986272
2024-08-12,32.435001373291016,5.33,2.0,32.703679369741415,32.969697188009135,33.4939087710661,26.86779964503998,53.46958147181198,105.89073977750871
2024-08-13,32.23899841308594,5.33,2.0,32.50605280292569,32.77046308989573,33.29150689068962,26.70543898397497,53.146467680979015,105.25084776036806
2024-08-14,32.30500030517578,5.33,2.0,32.57260142710672,32.83755303297893,33.359663550432984,26.760112193093732,53.25527278031501,105.46632452572027
2024-08-15,31.9950008392334,5.33,2.0,32.26003405514049,32.522443179800966,33.03954351369072,26.50332159070885,52.74423405675677,104.45426744573183
2024-08-16,32.442501068115234,5.33,2.0,32.71124118890336,32.97732051641635,33.501653308868406,26.87401207881237,53.481944830111416,105.91522407531713
2024-08-19,32.135501861572266,5.33,2.0,32.401698929231564,32.66526038235958,33.18463148117065,26.619706765929863,52.97585207873112,104.91296195983821
2024-08-20,31.910499572753903,5.33,2.0,32.174832815483434,32.43654889739386,32.9522835293938,26.43332427295313,52.60493246399598,104.17839566399003
2024-08-21,31.895000457763672,5.33,2.0,32.159205312301864,32.42079427719116,32.93627841388477,26.420485453819254,52.57938194274914,104.12779561210996
2024-08-22,31.69499969482422,5.33,2.0,31.957547826624634,32.21749647197157,32.72974821427289,26.25481318004148,52.2496777147353,103.47485194486694
2024-08-23,32.03499984741211,5.33,2.0,32.30036439838695,32.563101577569945,33.08084837184232,26.536455097483724,52.81017301578359,104.58485244302125
2024-08-26,31.754499435424805,5.33,2.0,32.017540438210794,32.27797707463255,32.79119044640485,26.304100278598952,52.34776392077478,103.66910109800429
