Date,SPLB
2021-09-29,26.315956115722656
2021-09-30,26.182373046875
2021-10-01,26.482858657836914
2021-10-04,26.415897369384766
2021-10-05,26.240123748779297
2021-10-06,26.281972885131836
2021-10-07,26.08108901977539
2021-10-08,25.88020896911621
2021-10-11,25.8551025390625
2021-10-12,26.122940063476562
2021-10-13,26.399158477783203
2021-10-14,26.549816131591797
2021-10-15,26.474483489990234
2021-10-18,26.45774269104004
2021-10-19,26.223384857177734
2021-10-20,26.089466094970703
2021-10-21,26.06435203552246
2021-10-22,26.240123748779297
2021-10-25,26.231752395629883
2021-10-26,26.44100570678711
2021-10-27,26.725587844848633
2021-10-28,26.658628463745117
2021-10-29,26.658628463745117
2021-11-01,26.589820861816406
2021-11-02,26.732463836669922
2021-11-03,26.614990234375
2021-11-04,26.79119300842285
2021-11-05,27.11004638671875
2021-11-08,27.059696197509766
2021-11-09,27.177165985107422
2021-11-10,26.8079776763916
2021-11-11,26.707290649414062
2021-11-12,26.62338638305664
2021-11-15,26.29615020751953
2021-11-16,26.212244033813477
2021-11-17,26.38844871520996
2021-11-18,26.472352981567383
2021-11-19,26.656951904296875
2021-11-22,26.37166404724121
2021-11-23,26.052825927734375
2021-11-24,26.29615020751953
2021-11-26,26.62338638305664
2021-11-29,26.631772994995117
2021-11-30,26.75763511657715
2021-12-01,26.729873657226562
2021-12-02,26.864458084106445
2021-12-03,27.192481994628906
2021-12-06,26.94856071472168
2021-12-07,26.956968307495117
2021-12-08,26.64577293395996
2021-12-09,26.612125396728516
2021-12-10,26.64577293395996
2021-12-13,26.83922004699707
2021-12-14,26.66259002685547
2021-12-15,26.671005249023438
2021-12-16,26.595306396484375
2021-12-17,26.76643943786621
2021-12-20,26.555683135986328
2021-12-21,26.631559371948242
2021-12-22,26.707433700561523
2021-12-23,26.631559371948242
2021-12-27,26.73272132873535
2021-12-28,26.656845092773438
2021-12-29,26.41236686706543
2021-12-30,26.59783172607422
2021-12-31,26.5388126373291
2022-01-03,26.11730194091797
2022-01-04,26.11730194091797
2022-01-05,25.948698043823242
2022-01-06,25.923404693603516
2022-01-07,25.763219833374023
2022-01-10,25.73793601989746
2022-01-11,25.8475284576416
2022-01-12,25.830665588378906
2022-01-13,25.948698043823242
2022-01-14,25.619911193847656
2022-01-18,25.257404327392578
2022-01-19,25.33327865600586
2022-01-20,25.307981491088867
2022-01-21,25.5777587890625
2022-01-24,25.400724411010742
2022-01-25,25.282691955566406
2022-01-26,25.063499450683594
2022-01-27,25.198394775390625
2022-01-28,25.215251922607422
2022-01-31,25.206819534301758
2022-02-01,25.253326416015625
2022-02-02,25.24485969543457
2022-02-03,24.974327087402344
2022-02-04,24.619243621826172
2022-02-07,24.678421020507812
2022-02-08,24.534698486328125
2022-02-09,24.644603729248047
2022-02-10,24.23879623413086
2022-02-11,24.42479133605957
2022-02-14,24.13733673095703
2022-02-15,23.917524337768555
2022-02-16,23.934432983398438
2022-02-17,23.951337814331055
2022-02-18,24.061250686645508
2022-02-22,24.061250686645508
2022-02-23,23.714616775512695
2022-02-24,23.86680030822754
2022-02-25,24.0020694732666
2022-02-28,24.38251304626465
2022-03-01,24.425752639770508
2022-03-02,23.88314437866211
2022-03-03,24.03575897216797
2022-03-04,24.061185836791992
2022-03-07,23.662717819213867
2022-03-08,23.52705955505371
2022-03-09,23.544021606445312
2022-03-10,23.145549774169922
2022-03-11,23.162492752075195
2022-03-14,22.713157653808594
2022-03-15,22.992935180664062
2022-03-16,23.30662727355957
2022-03-17,23.61184310913086
